Policy,Player Type,Mean Profit ($),Std Dev ($),Variance ($²),Median Profit ($),5th Pct ($),95th Pct ($),Acceptance Rate,Avg Accepted Offer ($),Avg Round of Acceptance,P(Profit < 0)
Baseline (0.8×EV),Risk-Averse,26950.04186100182,249115.13938527677,62058352670.94587,-80283.42020000001,-135294.62002,644341.132826666,1.0,104713.57385899818,1.4529,0.7404
Baseline (0.8×EV),Risk-Neutral,22002.596897228486,238433.69663350986,56850627690.32061,-66520.08,-160151.608,629490.8668927272,0.9628,105916.38043599036,2.9298919817199836,0.7001
Baseline (0.8×EV),Risk-Seeking,10193.606184131511,167573.3434228165,28080825425.901207,0.0,-156525.18450666664,346002.89873333304,0.5382,105852.0440837393,4.432552954292085,0.3736
Dynamic Round-Based,Risk-Averse,30713.423007119185,249657.2574524806,62328746198.69418,-74747.8073021853,-137884.54553871797,654041.478275,1.0,99375.10150588081,1.6634,0.7396
Dynamic Round-Based,Risk-Neutral,26924.618152938034,244656.51368844984,59856809690.186646,-64078.927696037295,-178090.7902097902,636591.2432546613,0.9944,106942.80636671557,3.2250603378921965,0.7163
Dynamic Round-Based,Risk-Seeking,14563.582051159234,201417.52057628377,40569017595.097694,0.0,-195920.3076923077,467883.0793269151,0.7322,114984.55097492592,5.142037694618956,0.4942
Player-Adaptive,Risk-Averse,21823.30756101667,248149.98602222587,61578415562.830894,-84230.33649333334,-136695.94238,642350.7595999998,1.0,108558.75532298334,1.3763,0.7499
Player-Adaptive,Risk-Neutral,21900.638037396,251709.27084616394,63357557029.90752,-77781.82316,-169943.925545,645329.638924,0.996,111616.08691225301,2.4743975903614457,0.7356
Player-Adaptive,Risk-Seeking,15797.306573756001,211996.92741084786,44942697231.64029,-2183.955,-182746.64626666665,569991.9699999994,0.7445,116241.9190198039,4.251578240429819,0.5258
Risk-Adjusted (α·EV − β·σ),Risk-Averse,31922.269249313867,249534.0288406452,62267231549.44395,-74634.35640142506,-130981.82711956445,649329.0111379995,0.9999,99510.12396108224,1.6158615861586159,0.7383
Risk-Adjusted (α·EV − β·σ),Risk-Neutral,25015.993858676116,233393.06754798602,54472323979.45877,-51448.66670203283,-164939.2269123573,630247.5206826468,0.9402,100408.2550705423,3.4421399702191025,0.6768
Risk-Adjusted (α·EV − β·σ),Risk-Seeking,13908.580126502335,161248.93409451193,26001218746.61625,0.0,-145195.29047964644,340846.0955754141,0.4728,104356.20277389523,4.929568527918781,0.3195
